,,,,,,
,"Instrucciones: (Revisar: """,,,,,
,"ara_effects_research_phone"")",,,,,
,"
Cuando el contacto pregunte por efectos, experiencias o potencia:
1. Mostrar el review con su calificación ""Stars: ⭐⭐⭐⭐⭐"", usando estrellas según el número indicado.
Ejemplo:
• Stars=5 → “⭐⭐⭐⭐⭐”
• Stasr=4 → “⭐⭐⭐⭐”
• y así sucesivamente.
2. Compartir solo la opinión del cliente, sin agregar interpretación ni promesas.
Ejemplo estructural:
""⭐⭐⭐⭐⭐ “Excelente producto, me gustó el sabor y la experiencia.”""
(no exagerar ni repetir palabras como “potente” por temas regulatorios. Solo copiar tal cual lo escribió el cliente.)
3. Añadir una frase legal/neutral para encuadrar la respuesta:
“Cada persona comparte experiencias distintas; por eso es útil leer varias opiniones.”
4. Ofrecer el acceso directo al producto:
“Aquí puedes ver más comentarios y todos los detalles del producto en su página oficial.”
5. Incluir el link del producto (siempre).
⸻
Suave, dulce y estratégica:
",,,,,
,"“Te comparto una opinión real de otro cliente. Recuerda que cada persona lo describe diferente, así que ver varias experiencias te ayuda a elegir con más claridad.”
",,,,,
,"Esta frase:
",,,,,
,	,,,,,
,"No promete efectos
",,,,,
,	,,,,,
,"No induce consumo
",,,,,
,	,,,,,
,"No clasifica sensaciones
",,,,,
,	,,,,,
,"Acompaña al cliente
",,,,,
,	,,,,,
,"Mantiene autoridad y confianza
",,,,,
,"⸻ 
",,,,,
,Stars: ⭐⭐⭐⭐⭐,Comment,ProductId,ProductURL,,
,5,Excelente producto 100% recomendable muy potente 🫡,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto para pasar una tarde caminando o viendo pelis, lo recomiendo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Buenos productos,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me encanta la rapidez del pedido,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Lo recomiendo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Muy buen trip con los productos,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,null,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Buen producto y rápida entrega, si lo recomendaría",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Delicious taste,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,null,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,1,Producto poco recomendable,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Gran producto, tarda en hacer efecto pero muy bueno en verdad",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Es muy excelente producto la verdad cumple con las expectativas 100 % recomendado 👌🏻,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me aclaro la mente y me dieron un trip muy restrospectivo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Yeah,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,null,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buenos la verdad calidad y precios,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,1,No lo recomiendo 0%,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Buena dosis, pero muy feo el sabor",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Exelente producto 1000 de 1000,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Claro ya le dije a mis amigos,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto, recomendando 10/10",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, era lo que esperaba",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,2,mal producto no lo recomiendo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me gusto . Buen sabir y buen efecto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto,pontente y muy relajante,100% recomendado 👌🏾",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"El producto llegó súper rápido y es potente, cumple con lo que dice y es a un precio accesible",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto, pega súper bien y llega súper rápido, buen tripppp",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy bueno y bastante fuerte el efecto, pero controlado. Recomiendo!",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Muy buen producto! Llego antes de lo esperado.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Exelente producto, 100% lo recomiendo ❣️",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, muy discreto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto, buen precio y buen viaje..",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buen producto, el efecto es el mencionado, aunque el sabor si está ""natural"" y que sea caramelo macizo no me gustó a mi.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"excelente producto, accesible y fue de entrega rapida",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen sabor, y pega rico",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Es un buen producto muy relajante,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,null,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Estos caramelos no decepcionan yo que consumo poco me dejan tirado varias horas,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Los dulces están increíbles, 100% recomendado",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto, 100% recomendado",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, lo recomiendo 1000% me encanta",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Gran producto, tiempos de envíos excelentes",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,muy buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto me encantó mucho es 100% recomendable,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, muy muy recomendado",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelentes productos y excelente atención al cliente, lo recomiendo ampliamente",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,100% lo recomiendo es muy bueno y pone rico,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Me gustó, potente fácil de usar",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Recomiendo el nice leaf,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Mas discreto no se puede, aparte estan bien ricos y el concentrado es de excelente calidad",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy bueno pero para alguien que ya sabe del tema no pega tanto solo relaja,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,🤩🤩🤩,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Es un producto que sin dudas volvería a comprar,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Exelente producto y bien empaquetado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, experiencia 10/10",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Esta rico, y pega macizo.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"buen sabor, es divertido pero está muy duro es dulce confitado.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Me encanta, lo recomiendo para un trip suave y lindo.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto sin duda comprare mad,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,excelente producto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Lo recomiendo, pega a gusto, saben a peligro, buen producto, seguire comprando mas dulces...",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,nan,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Buen producto pero casi no pega y sabe rico,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Me gustó el producto, te da una sensación de relajación aunque debes estar en un estado muy relajado para que puedas sentir el efecto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,100 % Al rato pediré,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto llego a tiempo ⏱️ y muy ricos,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Deli deli, pegan lo justo y necesario para un buen día con los amigos, carne asada y toboganes 🙂‍↕️",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
